Ticker,Name,Market Cap,GICS Sector,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,Cntry Terrtry Of Dom,Security
None (2456 securities),,,,,,,,,,
LSAK US Equity,LESAKA TECHNOLOGIES INC,"385934650,00","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,ZA,Lesaka Technologies Inc
VFS US Equity,VINFAST AUTO LTD,"8209232470,46","25,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Automobiles,Cars,VN,Vinfast Auto Ltd
DLO US Equity,DLOCAL LTD,"4353495824,00","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,UY,Dlocal Ltd/Uruguay
MELI US Equity,MERCADOLIBRE INC,"119849101968,84","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,E-Commerce Discretionary,Online Marketplace,#N/A N/A,UY,MercadoLibre Inc
COGT US Equity,COGENT BIOSCIENCES INC,"1691776591,60","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Cogent Biosciences Inc
CCBG US Equity,CAPITAL CITY BANK GROUP INC,"693753698,19","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Capital City Bank Group Inc
ANAB US Equity,ANAPTYSBIO INC,"560499212,08","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,AnaptysBio Inc
CAT US Equity,CATERPILLAR INC,"193313149649,20","20,00",Industrials,Industrial Products,Machinery,Construction & Mining Machinery,Construction Machinery,US,Caterpillar Inc
BMRC US Equity,BANK OF MARIN BANCORP/CA,"367979363,90","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Bank of Marin Bancorp
GLIBA US Equity,GCI LIBERTY INC-CL A,"1034190875,36","50,00",Communications,Telecommunications,Telecommunications,Wireline Telecommunications,#N/A N/A,US,GCI Liberty Inc
EPAM US Equity,EPAM SYSTEMS INC,"9167711561,35","45,00",Technology,Software & Tech Services,IT Services,IT Services,IT Services - Commercial,US,EPAM Systems Inc
AACI US Equity,ARMADA ACQUISITION -CLASS A,"325061098,79",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Armada Acquisition Corp II
OABI US Equity,OMNIAB INC,"246629599,77","35,00",Health Care,Health Care,Medical Equipment & Devices,Life Science & Diagnostics,#N/A N/A,US,OmniAb Inc
ZBIO US Equity,ZENAS BIOPHARMA INC,"727666237,55","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Zenas Biopharma Inc
PPG US Equity,PPG INDUSTRIES INC,"25045929275,51","15,00",Materials,Materials,Chemicals,Specialty Chemicals,Paints & Coatings,US,PPG Industries Inc
GPC US Equity,GENUINE PARTS CO,"19075117114,26","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Automotive Retailers,Auto Parts & Accessories Stores,US,Genuine Parts Co
JPM US Equity,JPMORGAN CHASE & CO,"801635737699,99","40,00",Financials,Banking,Banking,Diversified Banks,#N/A N/A,US,JPMorgan Chase & Co
EOG US Equity,EOG RESOURCES INC,"64279806698,54","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Exploration & Production,Crude Oil & Natural Gas E&P,US,EOG Resources Inc
RVTY US Equity,REVVITY INC,"10410549983,58","35,00",Health Care,Health Care,Medical Equipment & Devices,Life Science & Diagnostics,#N/A N/A,US,Revvity Inc
WTBA US Equity,WEST BANCORPORATION,"317639718,75","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,West BanCorp Inc
EXTR US Equity,EXTREME NETWORKS INC,"2627004982,17","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Data Networking Equipment,US,Extreme Networks Inc
IPGP US Equity,IPG PHOTONICS CORP,"3329885048,62","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Discrete,US,IPG Photonics Corp
LDOS US Equity,LEIDOS HOLDINGS INC,"22852320149,39","20,00",Technology,Software & Tech Services,IT Services,IT Services,IT Services - Government,US,Leidos Holdings Inc
JJSF US Equity,J & J SNACK FOODS CORP,"2194400971,28","30,00",Consumer Staples,Consumer Staple Products,Food,Packaged Food,Snack Food & Confectionery,US,J & J Snack Foods Corp
PPIH US Equity,PERMA-PIPE INTERNATIONAL HOL,"216886373,17","20,00",Industrials,Industrial Services,Engineering & Construction,Infrastructure Construction,Energy Infra Construction,US,Perma-Pipe International Holdi
AMPL US Equity,AMPLITUDE INC-CLASS A,"1546504757,40","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,US,Amplitude Inc
SO US Equity,SOUTHERN CO/THE,"102152979474,00","55,00",Utilities,Utilities,Electric Utilities,Integrated Electric Utilities,#N/A N/A,US,Southern Co/The
NKTR US Equity,NEKTAR THERAPEUTICS,"521679463,19","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Nektar Therapeutics
TAP US Equity,MOLSON COORS BEVERAGE CO - B,"10121779247,16","30,00",Consumer Staples,Consumer Staple Products,Beverages,Alcoholic Beverages,Brewers,US,Molson Coors Beverage Co
BYRN US Equity,BYRNA TECHNOLOGIES INC,"440453982,94","20,00",Industrials,Industrial Products,Aerospace & Defense,Defense,Munitions & Accessories,US,Byrna Technologies Inc
ALKT US Equity,ALKAMI TECHNOLOGY INC,"2338748039,39","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,US,Alkami Technology Inc
ASTS US Equity,AST SPACEMOBILE INC,"17266230437,29","50,00",Communications,Telecommunications,Telecommunications,Wireless Telecommunications,Satellite Operators,US,AST SpaceMobile Inc
VREX US Equity,VAREX IMAGING CORP,"457744988,92","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Equipment,Radiation Equipment,US,Varex Imaging Corp
POLE US Equity,ANDRETTI ACQUISITION CORP -A,"307494202,25",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Andretti Acquisition Corp II
OPCH US Equity,OPTION CARE HEALTH INC,"4575097799,88","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Supply Chain,Pharmacy Benefits Mgmt (PBM),US,Option Care Health Inc
JBIO US Equity,JADE BIOSCIENCES INC,"244700475,00","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Jade Biosciences Inc
SONO US Equity,SONOS INC,"1647598189,34","25,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Consumer Electronics,Audio Equipment,US,Sonos Inc
TNDM US Equity,TANDEM DIABETES CARE INC,"732453075,95","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Equipment,Medication Monitor & Delivery,US,Tandem Diabetes Care Inc
NRIM US Equity,NORTHRIM BANCORP INC,"487430601,22","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Northrim BanCorp Inc
DJCO US Equity,DAILY JOURNAL CORP,"589483219,19","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,US,Daily Journal Corp
RVMD US Equity,REVOLUTION MEDICINES INC,"6813714918,12","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Revolution Medicines Inc
YMAB US Equity,Y-MABS THERAPEUTICS INC,"387135359,20","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Generic Pharma,US,Y-mAbs Therapeutics Inc
ALCO US Equity,ALICO INC,"252296880,00","30,00",Consumer Staples,Consumer Staple Products,Food,Agricultural Producers,Food Crop Production,US,Alico Inc
