Ticker,Company,Country,BICS_L1,BICS_L2,BICS_L3,tags_en,tags_it
LSAK,LESAKA TECHNOLOGIES INC,ZA,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
VFS,VINFAST AUTO LTD,VN,Consumer Discretionary,Consumer Discretionary Products,Automotive,consumer;retail;autos,consumi;retail;auto
DLO,DLOCAL LTD,UY,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
MELI,MERCADOLIBRE INC,UY,Consumer Discretionary,Retail & Whsle - Discretionary,E-Commerce Discretionary,consumer;retail;autos,consumi;retail;auto
COGT,COGENT BIOSCIENCES INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CCBG,CAPITAL CITY BANK GROUP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
ANAB,ANAPTYSBIO INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CAT,CATERPILLAR INC,US,Industrials,Industrial Products,Machinery,industrials;manufacturing;transport,industria;manifattura;trasporti
BMRC,BANK OF MARIN BANCORP/CA,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
GLIBA,GCI LIBERTY INC-CL A,US,Communications,Telecommunications,Telecommunications,other,altro
EPAM,EPAM SYSTEMS INC,US,Technology,Software & Tech Services,IT Services,other,altro
AACI,ARMADA ACQUISITION -CLASS A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
OABI,OMNIAB INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
ZBIO,ZENAS BIOPHARMA INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
PPG,PPG INDUSTRIES INC,US,Materials,Materials,Chemicals,materials;chemicals;metals,materiali;chimica;metalli
